"ID","Series","Supplier","Date","Credit To","Grand Total","ID (Items)","Accepted Qty (Items)","Accepted Qty in Stock UOM (Items)","Amount (Items)","Amount (Company Currency) (Items)","Item Name (Items)","Rate (Items)","Rate (Company Currency) (Items)","UOM (Items)","UOM Conversion Factor (Items)","Item (Items)","Item Group (Items)","Payment Amount (Payment Schedule)"
"ACC-PINV-2025-00026","ACC-PINV-.YYYY.-","شركة الصالح","2025-10-22","الدائنين - iHome",6391.0,"9dqda78agq",1.0,1.0,5775.0,5775.0,"Smart Door Lock D01",5775.0,5775.0,"Nos",1.0,"2396","Door Lock",6391.0
"","","","","","","9dqd3jfst9",2.0,2.0,616.0,616.0,"18cm Master Speaker",308.0,308.0,"No",1.0,"MT-606LML","Sound System",""
"ACC-PINV-2025-00025","ACC-PINV-.YYYY.-","شركة الصالح","2025-10-02","الدائنين - iHome",4590.0,"0v05gpqcck",10.0,10.0,4590.0,4590.0,"7cm Despa speaker",459.0,459.0,"No",1.0,"DSP3011","Sound System",4590.0
"ACC-PINV-2025-00024","ACC-PINV-.YYYY.-","Black Box","2025-10-02","الدائنين - iHome",14710.0,"7erbcov153",1.0,1.0,4400.0,4400.0,"ALEXA Echo Spot",4400.0,4400.0,"Nos",1.0,"AES1","Alexa",14710.0
"","","","","","","7erb7cagmi",1.0,1.0,1550.0,1550.0,"Electric ValVe",1550.0,1550.0,"Nos",1.0,"3008","Sensor",""
"","","","","","","7erblsmc2t",4.0,4.0,2800.0,2800.0," Avato Mini Wi-Fi Switch Module Powered by Tuya 4 Gang ",700.0,700.0,"Nos",1.0,"4 CH","Switch",""
"","","","","","","7erbqg69v9",1.0,1.0,600.0,600.0," Avato Mini Wi-Fi Switch Module Powered by Tuya 3 Gang ",600.0,600.0,"No",1.0,"3 CH","Switch",""
"","","","","","","7erbtf74mm",2.0,2.0,1360.0,1360.0,"tuya Wifi Gas Sensor Combustible",680.0,680.0,"Nos",1.0,"gasd","Sensor",""
"","","","","","","7erbu0t4j6",10.0,10.0,4000.0,4000.0,"Universal Remote ir",400.0,400.0,"Nos",1.0,"206","Remote",""
"","","","","","","bkgl3j4naj",1.0,1.0,0.0,0.0,"SONOFF IFan03 WiFi Ceiling Fan And Light Controller",0.0,0.0,"No",1.0,"IFan03","Remote",""
